Begin,End,Label,Type,Speaker
0.09,0.3,gwynplaine,words,temp
0.3,0.56,had,words,temp
0.56,0.87,besides,words,temp
0.95,1.35,for,words,temp
1.35,1.76,his,words,temp
2.12,2.27,work,words,temp
2.55,2.6,and,words,temp
2.6,2.89,for,words,temp
2.95,3.07,his,words,temp
3.07,3.32,feats,words,temp
3.32,3.46,of,words,temp
3.94,4.2,strength,words,temp
4.2,4.35,round,words,temp
4.35,4.62,his,words,temp
4.68,4.94,neck,words,temp
4.94,5.16,and,words,temp
5.16,5.51,over,words,temp
5.51,5.71,his,words,temp
6.15,6.29,shoulders,words,temp
7.12,7.23,an,words,temp
7.23,7.33,esclavine,words,temp
7.33,7.44,of,words,temp
7.44,7.56,leather,words,temp
0.09,0.3,spn,phones,temp
0.3,0.56,spn,phones,temp
0.56,0.87,spn,phones,temp
0.95,1.35,spn,phones,temp
1.35,1.76,spn,phones,temp
2.12,2.27,spn,phones,temp
2.55,2.6,spn,phones,temp
2.6,2.89,spn,phones,temp
2.95,3.07,spn,phones,temp
3.07,3.32,spn,phones,temp
3.32,3.46,spn,phones,temp
3.94,4.2,spn,phones,temp
4.2,4.35,spn,phones,temp
4.35,4.62,spn,phones,temp
4.68,4.94,spn,phones,temp
4.94,5.16,spn,phones,temp
5.16,5.51,spn,phones,temp
5.51,5.71,spn,phones,temp
6.15,6.29,spn,phones,temp
7.12,7.13,ʔ,phones,temp
7.13,7.2,aː˨˨,phones,temp
7.2,7.23,n,phones,temp
7.23,7.33,spn,phones,temp
7.33,7.44,spn,phones,temp
7.44,7.56,spn,phones,temp
