Begin,End,Label,Type,Speaker
0.85,1.1,những,words,temp
1.1,1.37,cơn,words,temp
1.4,1.59,gió,words,temp
1.59,1.91,mạnh,words,temp
1.91,2.15,và,words,temp
2.15,2.47,mưa,words,temp
2.47,2.73,đóng,words,temp
2.73,3.03,băng,words,temp
3.03,3.23,gây,words,temp
3.23,3.5,trơn,words,temp
3.5,3.74,trợt,words,temp
0.85,0.94,ɲ,phones,temp
0.94,1.01,ɨ˨ˀ˥,phones,temp
1.01,1.1,ŋ,phones,temp
1.1,1.17,k,phones,temp
1.17,1.27,əː˨˨,phones,temp
1.27,1.37,n,phones,temp
1.4,1.43,z,phones,temp
1.43,1.59,ɔː˨˦,phones,temp
1.59,1.67,m,phones,temp
1.67,1.76,a˨˩ˀ,phones,temp
1.76,1.91,ɲ,phones,temp
1.91,2.0,v,phones,temp
2.0,2.15,aː˨˨,phones,temp
2.15,2.26,m,phones,temp
2.26,2.47,ɨə˨˨,phones,temp
2.47,2.54,ɗ,phones,temp
2.54,2.6,ɔ˨˦,phones,temp
2.6,2.73,ŋm,phones,temp
2.73,2.78,ɓ,phones,temp
2.78,2.86,a˨˨,phones,temp
2.86,3.03,ŋ,phones,temp
3.03,3.08,ɣ,phones,temp
3.08,3.11,ə˨˨,phones,temp
3.11,3.23,j,phones,temp
3.23,3.5,spn,phones,temp
3.5,3.74,spn,phones,temp
