Begin,End,Label,Type,Speaker
0.66,0.76,trong,words,temp
0.81,0.9,trường,words,temp
0.9,0.96,hợp,words,temp
2.35,2.49,ta,words,temp
2.53,2.7,đang,words,temp
2.7,2.88,bị,words,temp
3.11,3.3,năng,words,temp
3.3,3.4,lượng,words,temp
3.47,3.58,nhàm,words,temp
3.96,4.07,chán,words,temp
4.17,4.34,thúc,words,temp
4.34,4.57,đẩy,words,temp
4.66,4.74,thì,words,temp
5.23,5.5,hãy,words,temp
6.3,6.36,cố,words,temp
6.36,6.61,gắng,words,temp
6.75,6.91,đừng,words,temp
6.97,7.27,tin,words,temp
7.7,7.75,đó,words,temp
7.75,8.01,là,words,temp
8.04,8.13,cảm,words,temp
8.17,8.23,xúc,words,temp
8.23,8.25,thật,words,temp
8.25,8.29,mà,words,temp
8.32,8.39,có,words,temp
8.39,8.62,những,words,temp
8.62,8.68,quyết,words,temp
8.68,8.8,định,words,temp
8.87,9.0,nông,words,temp
9.0,9.14,nổi,words,temp
9.82,9.93,ta,words,temp
9.98,10.18,phải,words,temp
10.33,10.42,mau,words,temp
10.92,11.04,chóng,words,temp
11.09,11.2,dừng,words,temp
11.2,11.68,lại,words,temp
0.66,0.69,tɕ,phones,temp
0.69,0.73,ɔ˨˨,phones,temp
0.73,0.76,ŋm,phones,temp
0.81,0.84,tɕ,phones,temp
0.84,0.87,ɨə˨˨,phones,temp
0.87,0.9,ŋ,phones,temp
0.9,0.93,h,phones,temp
0.93,0.96,əː˨˩,phones,temp
2.35,2.39,t,phones,temp
2.39,2.49,aː˨˨,phones,temp
2.53,2.56,ɗ,phones,temp
2.56,2.65,aː˨˨,phones,temp
2.65,2.7,ŋ,phones,temp
2.7,2.74,ɓ,phones,temp
2.74,2.88,iː˨˩ˀ,phones,temp
3.11,3.19,n,phones,temp
3.19,3.23,a˨˨,phones,temp
3.23,3.3,ŋ,phones,temp
3.3,3.33,l,phones,temp
3.33,3.36,ɨə˨˩ˀ,phones,temp
3.36,3.4,ŋ,phones,temp
3.47,3.51,ɲ,phones,temp
3.51,3.54,aː˨˨,phones,temp
3.54,3.58,m,phones,temp
3.96,3.99,tɕ,phones,temp
3.99,4.04,aː˨˦,phones,temp
4.04,4.07,n,phones,temp
4.17,4.21,tʰ,phones,temp
4.21,4.23,u˦˥,phones,temp
4.23,4.34,kp,phones,temp
4.34,4.4,ɗ,phones,temp
4.4,4.43,ə˨˩˨,phones,temp
4.43,4.57,j,phones,temp
4.66,4.69,tʰ,phones,temp
4.69,4.74,iː˨˨,phones,temp
5.23,5.27,h,phones,temp
5.27,5.3,a˨ˀ˥,phones,temp
5.3,5.5,j,phones,temp
6.3,6.33,k,phones,temp
6.33,6.36,oː˨˦,phones,temp
6.36,6.47,ɣ,phones,temp
6.47,6.52,a˨˦,phones,temp
6.52,6.61,ŋ,phones,temp
6.75,6.78,ɗ,phones,temp
6.78,6.84,ɨ˨˨,phones,temp
6.84,6.91,ŋ,phones,temp
6.97,7.02,t,phones,temp
7.02,7.24,iː˨˨,phones,temp
7.24,7.27,n,phones,temp
7.7,7.74,ɗ,phones,temp
7.74,7.75,ɔː˨˦,phones,temp
7.75,7.78,l,phones,temp
7.78,8.01,aː˨˨,phones,temp
8.04,8.07,k,phones,temp
8.07,8.1,aː˨˩˨,phones,temp
8.1,8.13,m,phones,temp
8.17,8.2,s,phones,temp
8.2,8.22,u˦˥,phones,temp
8.22,8.23,kp,phones,temp
8.23,8.24,tʰ,phones,temp
8.24,8.25,ə˨˩,phones,temp
8.25,8.26,m,phones,temp
8.26,8.29,aː˨˨,phones,temp
8.32,8.36,k,phones,temp
8.36,8.39,ɔː˨˦,phones,temp
8.39,8.48,ɲ,phones,temp
8.48,8.51,ɨ˨ˀ˥,phones,temp
8.51,8.62,ŋ,phones,temp
8.62,8.65,k,phones,temp
8.65,8.67,w,phones,temp
8.67,8.68,iə˦˥,phones,temp
8.68,8.71,ɗ,phones,temp
8.71,8.76,i˨˩ˀ,phones,temp
8.76,8.8,ɲ,phones,temp
8.87,8.91,n,phones,temp
8.91,8.94,o˨˨,phones,temp
8.94,9.0,ŋm,phones,temp
9.0,9.04,n,phones,temp
9.04,9.07,oː˨˩˨,phones,temp
9.07,9.14,j,phones,temp
9.82,9.86,t,phones,temp
9.86,9.93,aː˨˨,phones,temp
9.98,10.01,f,phones,temp
10.01,10.04,aː˨˩˨,phones,temp
10.04,10.18,j,phones,temp
10.33,10.36,m,phones,temp
10.36,10.39,a˨˨,phones,temp
10.39,10.42,w,phones,temp
10.92,10.95,tɕ,phones,temp
10.95,11.01,ɔ˨˦,phones,temp
11.01,11.04,ŋm,phones,temp
11.09,11.12,z,phones,temp
11.12,11.16,ɨ˨˨,phones,temp
11.16,11.2,ŋ,phones,temp
11.2,11.24,l,phones,temp
11.24,11.27,aː˨˩ˀ,phones,temp
11.27,11.68,j,phones,temp
