Begin,End,Label,Type,Speaker
0.33,0.59,mấy,words,audio_prompt
0.68,0.77,cái,words,audio_prompt
1.22,1.4,bông,words,audio_prompt
1.49,1.56,thóc,words,audio_prompt
1.82,1.89,nếp,words,audio_prompt
2.1,2.19,cầm,words,audio_prompt
2.3,2.35,ở,words,audio_prompt
2.45,2.52,tay,words,audio_prompt
2.56,2.66,thấy,words,audio_prompt
4.03,4.14,mấy,words,audio_prompt
4.17,4.28,bông,words,audio_prompt
4.99,5.03,lúa,words,audio_prompt
5.24,5.35,được,words,audio_prompt
5.38,5.45,tết,words,audio_prompt
5.94,6.01,cuốn,words,audio_prompt
6.79,6.86,trông,words,audio_prompt
6.89,6.94,rất,words,audio_prompt
6.98,7.02,là,words,audio_prompt
7.06,7.17,đẹp,words,audio_prompt
7.25,7.42,mắt,words,audio_prompt
7.49,7.55,thì,words,audio_prompt
7.55,7.74,phong,words,audio_prompt
7.74,7.85,mới,words,audio_prompt
7.95,8.03,nói,words,audio_prompt
8.03,8.06,à,words,audio_prompt
8.26,8.36,coi,words,audio_prompt
8.36,8.45,coi,words,audio_prompt
8.45,8.54,cái,words,audio_prompt
8.85,8.92,này,words,audio_prompt
8.96,9.05,gọi,words,audio_prompt
9.05,9.09,là,words,audio_prompt
10.6,10.67,tết,words,audio_prompt
11.22,11.28,cho,words,audio_prompt
11.49,11.99,sói,words,audio_prompt
12.68,12.77,phải,words,audio_prompt
12.94,13.01,không,words,audio_prompt
0.33,0.39,m,phones,audio_prompt
0.39,0.43,ɤ̆,phones,audio_prompt
0.43,0.57,j,phones,audio_prompt
0.57,0.59,5,phones,audio_prompt
0.68,0.69,k,phones,audio_prompt
0.69,0.72,a,phones,audio_prompt
0.72,0.75,j,phones,audio_prompt
0.75,0.77,5,phones,audio_prompt
1.22,1.25,b,phones,audio_prompt
1.25,1.28,o,phones,audio_prompt
1.28,1.38,ŋ͡m,phones,audio_prompt
1.38,1.4,1,phones,audio_prompt
1.49,1.5,tʰ,phones,audio_prompt
1.5,1.51,ɔ,phones,audio_prompt
1.51,1.54,k͡p,phones,audio_prompt
1.54,1.56,5,phones,audio_prompt
1.82,1.83,n,phones,audio_prompt
1.83,1.84,e,phones,audio_prompt
1.84,1.87,p,phones,audio_prompt
1.87,1.89,5,phones,audio_prompt
2.1,2.13,k,phones,audio_prompt
2.13,2.16,ɤ̆,phones,audio_prompt
2.16,2.17,m,phones,audio_prompt
2.17,2.19,2,phones,audio_prompt
2.3,2.33,ɤ,phones,audio_prompt
2.33,2.35,4,phones,audio_prompt
2.45,2.48,t,phones,audio_prompt
2.48,2.49,ă,phones,audio_prompt
2.49,2.5,j,phones,audio_prompt
2.5,2.52,1,phones,audio_prompt
2.56,2.57,tʰ,phones,audio_prompt
2.57,2.6,ɤ̆,phones,audio_prompt
2.6,2.64,j,phones,audio_prompt
2.64,2.66,5,phones,audio_prompt
4.03,4.06,m,phones,audio_prompt
4.06,4.09,ɤ̆,phones,audio_prompt
4.09,4.12,j,phones,audio_prompt
4.12,4.14,5,phones,audio_prompt
4.17,4.2,b,phones,audio_prompt
4.2,4.23,o,phones,audio_prompt
4.23,4.26,ŋ͡m,phones,audio_prompt
4.26,4.28,1,phones,audio_prompt
4.99,5.0,l,phones,audio_prompt
5.0,5.01,uə,phones,audio_prompt
5.01,5.03,5,phones,audio_prompt
5.24,5.27,d,phones,audio_prompt
5.27,5.3,ɯə,phones,audio_prompt
5.3,5.33,k,phones,audio_prompt
5.33,5.35,6,phones,audio_prompt
5.38,5.39,t,phones,audio_prompt
5.39,5.4,e,phones,audio_prompt
5.4,5.43,t,phones,audio_prompt
5.43,5.45,5,phones,audio_prompt
5.94,5.95,k,phones,audio_prompt
5.95,5.96,uə,phones,audio_prompt
5.96,5.99,n,phones,audio_prompt
5.99,6.01,5,phones,audio_prompt
6.79,6.8,ʈ,phones,audio_prompt
6.8,6.81,o,phones,audio_prompt
6.81,6.84,ŋ͡m,phones,audio_prompt
6.84,6.86,1,phones,audio_prompt
6.89,6.9,ʐ,phones,audio_prompt
6.9,6.91,ɤ̆,phones,audio_prompt
6.91,6.92,t,phones,audio_prompt
6.92,6.94,5,phones,audio_prompt
6.98,6.99,l,phones,audio_prompt
6.99,7.0,a,phones,audio_prompt
7.0,7.02,2,phones,audio_prompt
7.06,7.09,d,phones,audio_prompt
7.09,7.12,ɛ,phones,audio_prompt
7.12,7.15,p,phones,audio_prompt
