Begin,End,Label,Type,Speaker
0.24,0.34,their,words,temp
0.52,0.7,tent,words,temp
0.85,1.03,was,words,temp
1.12,1.16,now,words,temp
1.16,1.34,covered,words,temp
1.46,1.57,by,words,temp
1.57,1.61,the,words,temp
1.61,1.71,rising,words,temp
1.82,2.03,plastic,words,temp
2.03,2.2,roof,words,temp
2.2,2.59,but,words,temp
2.73,2.8,beyond,words,temp
2.8,2.84,the,words,temp
2.84,2.87,clear,words,temp
3.15,3.34,substance,words,temp
3.45,3.51,he,words,temp
3.69,3.75,could,words,temp
3.98,4.08,still,words,temp
4.08,4.34,watch,words,temp
4.34,4.44,for,words,temp
4.62,5.17,starlight,words,temp
5.35,5.39,to,words,temp
5.42,5.46,be,words,temp
5.79,6.41,stopped,words,temp
6.74,6.82,by,words,temp
7.09,7.31,prowling,words,temp
7.69,8.16,forms,words,temp
8.31,8.48,out,words,temp
8.61,8.8,there,words,temp
9.17,9.41,at,words,temp
9.8,9.86,the,words,temp
9.86,9.92,jagged,words,temp
10.93,11.02,rim,words,temp
11.15,11.5,of,words,temp
11.62,12.07,vesta,words,temp
0.24,0.34,spn,phones,temp
0.52,0.7,spn,phones,temp
0.85,1.03,spn,phones,temp
1.12,1.16,spn,phones,temp
1.16,1.34,spn,phones,temp
1.46,1.57,spn,phones,temp
1.57,1.58,tʰ,phones,temp
1.58,1.59,ɛ,phones,temp
1.59,1.61,1,phones,temp
1.61,1.71,spn,phones,temp
1.82,2.03,spn,phones,temp
2.03,2.2,spn,phones,temp
2.2,2.59,spn,phones,temp
2.73,2.8,spn,phones,temp
2.8,2.81,tʰ,phones,temp
2.81,2.82,ɛ,phones,temp
2.82,2.84,1,phones,temp
2.84,2.87,spn,phones,temp
3.15,3.34,spn,phones,temp
3.45,3.48,h,phones,temp
3.48,3.49,ɛ,phones,temp
3.49,3.51,1,phones,temp
3.69,3.75,spn,phones,temp
3.98,4.08,spn,phones,temp
4.08,4.34,spn,phones,temp
4.34,4.44,spn,phones,temp
4.62,5.17,spn,phones,temp
5.35,5.36,t,phones,temp
5.36,5.37,ɔ,phones,temp
5.37,5.39,1,phones,temp
5.42,5.43,b,phones,temp
5.43,5.44,ɛ,phones,temp
5.44,5.46,1,phones,temp
5.79,6.41,spn,phones,temp
6.74,6.82,spn,phones,temp
7.09,7.31,spn,phones,temp
7.69,8.16,spn,phones,temp
8.31,8.48,spn,phones,temp
8.61,8.8,spn,phones,temp
9.17,9.41,spn,phones,temp
9.8,9.83,tʰ,phones,temp
9.83,9.84,ɛ,phones,temp
9.84,9.86,1,phones,temp
9.86,9.92,spn,phones,temp
10.93,10.96,ʐ,phones,temp
10.96,10.97,i,phones,temp
10.97,11.0,m,phones,temp
11.0,11.02,1,phones,temp
11.15,11.5,spn,phones,temp
11.62,12.07,spn,phones,temp
